iteration,ants_ms,evap_ms,comm_border_ms,comm_migrate_ms,update_ms,total_ms,global_food,total_ants
1830,2.2385,0.27536,0.00102,0.000583,0.003022,2.66508,0,5000
1831,2.24746,0.282173,0.00099,0.000465,0.003302,2.72166,0,5000
1832,2.23681,0.279832,0.000986,0.000475,0.002887,2.71219,0,5000
1833,2.26847,0.367608,0.001028,0.000493,0.003536,2.81211,0,5000
1834,2.34024,0.372824,0.001034,0.000527,0.003543,2.88622,0,5000
1835,2.32186,0.357821,0.001064,0.000483,0.003131,2.86933,0,5000
1836,2.29547,0.369331,0.001084,0.000487,0.003337,2.862,0,5000
1837,2.29012,0.285174,0.001017,0.000567,0.003076,2.77792,0,5000
1838,2.33006,0.279598,0.001045,0.000507,0.003039,2.80598,0,5000
1839,2.29529,0.284394,0.001072,0.000521,0.002915,2.77952,0,5000
1840,2.30475,0.289115,0.00101,0.000451,0.002953,2.76509,0,5000
1841,2.29296,0.280321,0.000988,0.00048,0.002991,2.75501,0,5000
1842,2.2778,0.28395,0.001057,0.000488,0.002895,2.75804,0,5000
1843,2.31768,0.287675,0.001059,0.000526,0.003064,2.80149,0,5000
1844,2.27414,0.284878,0.001006,0.000484,0.003142,2.75445,0,5000
1845,2.29125,0.285839,0.001099,0.000551,0.003057,2.73168,0,5000
1846,2.34021,0.313483,0.001016,0.000499,0.002876,2.81066,0,5000
1847,2.28769,0.304587,0.001069,0.000531,0.003065,2.75788,0,5000
1848,2.31096,0.373629,0.001089,0.000481,0.00332,2.86052,0,5000
1849,2.31974,0.351137,0.001058,0.000515,0.00322,2.83712,0,5000
1850,2.32343,0.36438,0.001057,0.000465,0.003277,2.87151,0,5000
1851,2.28394,0.303304,0.001025,0.000551,0.003128,2.78989,0,5000
1852,2.28136,0.298109,0.001066,0.000526,0.003031,2.77577,0,5000
1853,2.29059,0.345098,0.001008,0.000561,0.003584,2.81022,0,5000
1854,2.3021,0.331613,0.001058,0.00059,0.003202,2.80916,0,5000
1855,2.32583,0.299988,0.001023,0.000521,0.003395,2.79005,0,5000
1856,2.29507,0.290127,0.001023,0.0005,0.003122,2.78341,0,5000
1857,2.31033,0.282962,0.00106,0.00053,0.003146,2.78964,0,5000
1858,2.28194,0.29434,0.001018,0.000489,0.003085,2.77253,0,5000
1859,2.2969,0.277357,0.001085,0.000511,0.003366,2.77418,0,5000
1860,2.30874,0.278452,0.001086,0.000452,0.002953,2.74565,0,5000
1861,2.33112,0.288345,0.00109,0.000545,0.003052,2.82025,0,5000
1862,2.28826,0.291077,0.001008,0.000509,0.002864,2.75747,0,5000
1863,2.27365,0.274729,0.001046,0.000476,0.003399,2.70626,0,5000
1864,2.29058,0.278313,0.001116,0.000492,0.002987,2.75173,0,5000
1865,2.28714,0.312719,0.00105,0.000488,0.003194,2.79632,0,5000
1866,2.31283,0.27637,0.00111,0.00047,0.003213,2.78578,0,5000
1867,2.27275,0.270759,0.001054,0.000461,0.003229,2.74429,0,5000
1868,2.26286,0.277898,0.001067,0.000568,0.00294,2.73582,0,5000
1869,2.25453,0.284182,0.001007,0.000549,0.002862,2.7304,0,5000
1870,2.26751,0.285568,0.001016,0.000474,0.00292,2.71704,0,5000
1871,2.24562,0.273532,0.001019,0.000451,0.002988,2.6972,0,5000
1872,2.2521,0.299415,0.001067,0.000481,0.003059,2.72429,0,5000
1873,2.24278,0.307063,0.001002,0.000507,0.003292,2.7194,0,5000
1874,2.29298,0.346256,0.001024,0.000903,0.003309,2.80301,0,5000
1875,2.3527,0.281419,0.001091,0.000552,0.003225,2.81456,0,5000
1876,2.3424,0.285877,0.00105,0.000536,0.00303,2.80288,0,5000
1877,2.29324,0.278645,0.001358,0.000488,0.003138,2.77575,0,5000
1878,2.34574,0.286104,0.001082,0.000542,0.003251,2.805,0,5000
1879,2.31263,0.355912,0.001052,0.000501,0.0033,2.86644,0,5000
1880,2.31415,0.314304,0.001071,0.000655,0.003587,2.83756,0,5000
1881,2.34034,0.293342,0.001022,0.000662,0.003173,2.83777,0,5000
1882,2.36854,0.284661,0.001109,0.000499,0.003225,2.83061,0,5000
